company_id,year,return_on_capital_employed_pct,roce_percentage,roce_difference,remarks
ABB,Dec 2012,28.28,46.0,17.72,Difference > 5%
ABB,Mar 2014,31.09,46.0,14.91,Difference > 5%
ABB,Mar 2015,31.7,46.0,14.3,Difference > 5%
ABB,Mar 2016,29.37,46.0,16.63,Difference > 5%
ABB,Mar 2017,27.54,46.0,18.46,Difference > 5%
ABB,Mar 2018,30.06,46.0,15.940000000000001,Difference > 5%
ABB,Mar 2019,29.28,46.0,16.72,Difference > 5%
ABB,Mar 2020,26.75,46.0,19.25,Difference > 5%
ABB,Mar 2021,31.36,46.0,14.64,Difference > 5%
ABB,Mar 2022,34.19,46.0,11.810000000000002,Difference > 5%
ABB,Mar 2023,34.41,46.0,11.590000000000003,Difference > 5%
ABB,Mar 2024,36.54,46.0,9.46,Difference > 5%
ADANIENSOL,Mar 2014,0.0,9.0,9.0,Difference > 5%
ADANIENSOL,Mar 2015,0.59,9.0,8.41,Difference > 5%
ADANIENSOL,Mar 2016,12.14,9.0,3.1400000000000006,
ADANIENSOL,Mar 2017,11.86,9.0,2.8599999999999994,
ADANIENSOL,Mar 2018,13.63,9.0,4.630000000000001,
ADANIENSOL,Mar 2019,6.73,9.0,2.2699999999999996,
ADANIENSOL,Mar 2020,9.42,9.0,0.41999999999999993,
ADANIENSOL,Mar 2021,7.28,9.0,1.7199999999999998,
ADANIENSOL,Mar 2022,6.98,9.0,2.0199999999999996,
ADANIENSOL,Mar 2023,6.32,9.0,2.6799999999999997,
ADANIENSOL,Mar 2024,7.92,9.0,1.08,
ADANIENT,Mar 2013,4.1,11.6,7.5,Difference > 5%
ADANIENT,Mar 2014,6.43,11.6,5.17,Difference > 5%
ADANIENT,Mar 2015,8.17,11.6,3.4299999999999997,
ADANIENT,Mar 2016,4.21,11.6,7.39,Difference > 5%
ADANIENT,Mar 2017,4.54,11.6,7.06,Difference > 5%
ADANIENT,Mar 2018,4.2,11.6,7.3999999999999995,Difference > 5%
ADANIENT,Mar 2019,6.07,11.6,5.529999999999999,Difference > 5%
ADANIENT,Mar 2020,6.2,11.6,5.3999999999999995,Difference > 5%
ADANIENT,Mar 2021,5.9,11.6,5.699999999999999,Difference > 5%
ADANIENT,Mar 2022,3.86,11.6,7.74,Difference > 5%
ADANIENT,Mar 2023,7.4,11.6,4.199999999999999,
ADANIENT,Mar 2024,7.98,11.6,3.619999999999999,
ADANIGREEN,Mar 2017,1.26,96.5,95.24,Difference > 5%
ADANIGREEN,Mar 2018,2.68,96.5,93.82,Difference > 5%
ADANIGREEN,Mar 2019,3.55,96.5,92.95,Difference > 5%
ADANIGREEN,Mar 2020,6.13,96.5,90.37,Difference > 5%
ADANIGREEN,Mar 2021,6.65,96.5,89.85,Difference > 5%
ADANIGREEN,Mar 2022,4.8,96.5,91.7,Difference > 5%
ADANIGREEN,Mar 2023,5.96,96.5,90.54,Difference > 5%
ADANIGREEN,Mar 2024,7.25,96.5,89.25,Difference > 5%
ADANIPORTS,Mar 2013,10.88,12.9,2.0199999999999996,
ADANIPORTS,Mar 2014,10.44,12.9,2.460000000000001,
ADANIPORTS,Mar 2015,10.48,12.9,2.42,
ADANIPORTS,Mar 2016,9.8,12.9,3.0999999999999996,
ADANIPORTS,Mar 2017,10.71,12.9,2.1899999999999995,
ADANIPORTS,Mar 2018,13.79,12.9,0.8899999999999988,
ADANIPORTS,Mar 2019,10.03,12.9,2.870000000000001,
ADANIPORTS,Mar 2020,7.66,12.9,5.24,Difference > 5%
ADANIPORTS,Mar 2021,9.93,12.9,2.9700000000000006,
ADANIPORTS,Mar 2022,7.16,12.9,5.74,Difference > 5%
ADANIPORTS,Mar 2023,7.61,12.9,5.29,Difference > 5%
ADANIPORTS,Mar 2024,11.44,12.9,1.4600000000000009,
ADANIPOWER,Mar 2013,-0.72,32.2,32.92,Difference > 5%
ADANIPOWER,Mar 2014,5.24,32.2,26.96,Difference > 5%
ADANIPOWER,Mar 2015,5.67,32.2,26.53,Difference > 5%
ADANIPOWER,Mar 2016,10.19,32.2,22.010000000000005,Difference > 5%
ADANIPOWER,Mar 2017,5.96,32.2,26.240000000000002,Difference > 5%
ADANIPOWER,Mar 2018,5.09,32.2,27.110000000000003,Difference > 5%
ADANIPOWER,Mar 2019,4.08,32.2,28.120000000000005,Difference > 5%
ADANIPOWER,Mar 2020,4.42,32.2,27.78,Difference > 5%
ADANIPOWER,Mar 2021,8.36,32.2,23.840000000000003,Difference > 5%
ADANIPOWER,Mar 2022,10.0,32.2,22.200000000000003,Difference > 5%
ADANIPOWER,Mar 2023,9.4,32.2,22.800000000000004,Difference > 5%
ADANIPOWER,Mar 2024,18.39,32.2,13.810000000000002,Difference > 5%
AMBUJACEM,Dec 2012,21.5,12.8,8.7,Difference > 5%
AMBUJACEM,Dec 2013,12.36,12.8,0.4400000000000013,
AMBUJACEM,Dec 2014,14.06,12.8,1.2599999999999998,
AMBUJACEM,Dec 2015,8.85,12.8,3.950000000000001,
AMBUJACEM,Dec 2016,8.66,12.8,4.140000000000001,
AMBUJACEM,Dec 2017,12.75,12.8,0.05000000000000071,
AMBUJACEM,Dec 2018,12.75,12.8,0.05000000000000071,
AMBUJACEM,Dec 2019,14.28,12.8,1.4799999999999986,
AMBUJACEM,Dec 2020,16.55,12.8,3.75,
AMBUJACEM,Dec 2021,19.58,12.8,6.779999999999998,Difference > 5%
AMBUJACEM,Mar 2024,11.33,12.8,1.4700000000000006,
APOLLOHOSP,Mar 2013,11.87,17.2,5.33,Difference > 5%
APOLLOHOSP,Mar 2014,11.76,17.2,5.4399999999999995,Difference > 5%
APOLLOHOSP,Mar 2015,10.17,17.2,7.029999999999999,Difference > 5%
APOLLOHOSP,Mar 2016,6.81,17.2,10.39,Difference > 5%
